"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 21 02:53:32 GMT 2024","Wed Feb 21 02:53:57 GMT 2024","24475","","Visualização de saldo @balance @regression","","Visualização de saldo @balance @regression","Visualização saldo no app","Visualização saldo no app",""
"failed","Wed Feb 21 02:53:02 GMT 2024","Wed Feb 21 02:53:31 GMT 2024","28891","","Home do App @home @regression","","Home do App @home @regression","Validando a Home do app","Validando a Home do app",""
"passed","Wed Feb 21 02:53:57 GMT 2024","Wed Feb 21 02:54:29 GMT 2024","31166","","Pesquisa no app:","","Pesquisa no app:","Buscando um contato existente @search @regression","Buscando um contato existente @search @regression",""
