"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 06 01:42:38 GMT 2023","Wed Sep 06 01:44:58 GMT 2023","139344","","Home do App @home @regressive","","Home do App @home @regressive","Validando a Home do app","Validando a Home do app",""
"passed","Wed Sep 06 01:45:40 GMT 2023","Wed Sep 06 01:46:28 GMT 2023","47829","","Pesquisa no app:","","Pesquisa no app:","Buscando um contato existente @search @regressive","Buscando um contato existente @search @regressive",""
"passed","Wed Sep 06 01:44:58 GMT 2023","Wed Sep 06 01:45:40 GMT 2023","41550","","Visualização de saldo @balance @regressive","","Visualização de saldo @balance @regressive","Visualização saldo no app","Visualização saldo no app",""
