"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 21 02:57:32 GMT 2024","Wed Feb 21 02:58:03 GMT 2024","31497","","Pesquisa no app:","","Pesquisa no app:","Buscando um contato existente @search @regression","Buscando um contato existente @search @regression",""
"passed","Wed Feb 21 02:57:04 GMT 2024","Wed Feb 21 02:57:31 GMT 2024","26543","","Visualização de saldo @balance @regression","","Visualização de saldo @balance @regression","Visualização saldo no app","Visualização saldo no app",""
"failed","Wed Feb 21 02:56:37 GMT 2024","Wed Feb 21 02:57:03 GMT 2024","26403","","Home do App @home @regression","","Home do App @home @regression","Validando a Home do app","Validando a Home do app",""
