"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 09 01:00:51 GMT 2023","Sat Sep 09 01:01:16 GMT 2023","25570","","Visualização de saldo @balance @regressive","","Visualização de saldo @balance @regressive","Visualização saldo no app","Visualização saldo no app",""
"passed","Sat Sep 09 01:00:13 GMT 2023","Sat Sep 09 01:00:50 GMT 2023","36862","","Home do App @home @regressive","","Home do App @home @regressive","Validando a Home do app","Validando a Home do app",""
"passed","Sat Sep 09 01:01:17 GMT 2023","Sat Sep 09 01:01:50 GMT 2023","33482","","Pesquisa no app:","","Pesquisa no app:","Buscando um contato existente @search @regressive","Buscando um contato existente @search @regressive",""
