"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Feb 20 19:00:40 GMT 2024","Tue Feb 20 19:00:45 GMT 2024","5625","","Home do App @home @regressive","","Home do App @home @regressive","Validando a Home do app","Validando a Home do app",""
"failed","Tue Feb 20 19:00:45 GMT 2024","Tue Feb 20 19:00:51 GMT 2024","6163","","Visualização de saldo @balance @regressive","","Visualização de saldo @balance @regressive","Visualização saldo no app","Visualização saldo no app",""
"failed","Tue Feb 20 19:00:51 GMT 2024","Tue Feb 20 19:00:57 GMT 2024","6121","","Pesquisa no app:","","Pesquisa no app:","Buscando um contato existente @search @regressive","Buscando um contato existente @search @regressive",""
