"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 21 01:16:30 GMT 2024","Wed Feb 21 01:16:55 GMT 2024","24851","","Visualização de saldo @balance @regression","","Visualização de saldo @balance @regression","Visualização saldo no app","Visualização saldo no app",""
"failed","Wed Feb 21 01:16:01 GMT 2024","Wed Feb 21 01:16:29 GMT 2024","28242","","Home do App @home @regression","","Home do App @home @regression","Validando a Home do app","Validando a Home do app",""
"passed","Wed Feb 21 01:16:55 GMT 2024","Wed Feb 21 01:17:27 GMT 2024","32455","","Pesquisa no app:","","Pesquisa no app:","Buscando um contato existente @search @regression","Buscando um contato existente @search @regression",""
